"","districts_included","cluster","map","value"
"197",71,"Forsyth-Yadkin","wins_basemap",0.547
"198",72,"Forsyth-Yadkin","wins_basemap",0.696
"199",73,"Forsyth-Yadkin","wins_basemap",0.643
"200",74,"Forsyth-Yadkin","wins_basemap",0.592
"201",75,"Forsyth-Yadkin","wins_basemap",0.685
"202",76,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","wins_basemap",0.585
"203",77,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","wins_basemap",0.74
"204",82,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","wins_basemap",0.557
"205",83,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","wins_basemap",0.582
"206",88,"Mecklenburg","wins_basemap",0.642
"207",92,"Mecklenburg","wins_basemap",0.704
"208",98,"Mecklenburg","wins_basemap",0.542
"209",99,"Mecklenburg","wins_basemap",0.59
"210",100,"Mecklenburg","wins_basemap",0.722
"211",101,"Mecklenburg","wins_basemap",0.743
"212",102,"Mecklenburg","wins_basemap",0.797
"213",103,"Mecklenburg","wins_basemap",0.525
"214",104,"Mecklenburg","wins_basemap",0.52
"215",105,"Mecklenburg","wins_basemap",0.55
"216",106,"Mecklenburg","wins_basemap",0.797
"217",107,"Mecklenburg","wins_basemap",0.701
"218",108,"Cleveland-Gaston","wins_basemap",0.59
"219",109,"Cleveland-Gaston","wins_basemap",0.627
"220",110,"Cleveland-Gaston","wins_basemap",0.612
"221",111,"Cleveland-Gaston","wins_basemap",0.725
"222",114,"Buncombe","wins_basemap",0.57
"223",115,"Buncombe","wins_basemap",0.581
"224",116,"Buncombe","wins_basemap",0.561
"225",4,"Duplin-Onslow","D_voteshare_basemap",0.365
"226",7,"Franklin-Nash","D_voteshare_basemap",0.422
"227",8,"Lenoir-Pitt","D_voteshare_basemap",0.609
"228",9,"Lenoir-Pitt","D_voteshare_basemap",0.515
"229",12,"Lenoir-Pitt","D_voteshare_basemap",0.459
"230",14,"Duplin-Onslow","D_voteshare_basemap",0.379
"231",15,"Duplin-Onslow","D_voteshare_basemap",0.318
"232",16,"Columbus-Pender-Robeson","D_voteshare_basemap",0.361
"233",17,"Brunswick-New Hanover","D_voteshare_basemap",0.365
"234",18,"Brunswick-New Hanover","D_voteshare_basemap",0.565
"235",19,"Brunswick-New Hanover","D_voteshare_basemap",0.401
"236",20,"Brunswick-New Hanover","D_voteshare_basemap",0.421
"237",25,"Franklin-Nash","D_voteshare_basemap",0.538
"238",42,"Cumberland","D_voteshare_basemap",0.643
"239",43,"Cumberland","D_voteshare_basemap",0.714
"240",44,"Cumberland","D_voteshare_basemap",0.49
"241",45,"Cumberland","D_voteshare_basemap",0.491
"242",46,"Columbus-Pender-Robeson","D_voteshare_basemap",0.458
"243",47,"Columbus-Pender-Robeson","D_voteshare_basemap",0.484
"244",55,"Anson-Union","D_voteshare_basemap",0.442
"245",58,"Guildford","D_voteshare_basemap",0.725
"246",59,"Guildford","D_voteshare_basemap",0.462
"247",60,"Guildford","D_voteshare_basemap",0.623
"248",63,"Alamance","D_voteshare_basemap",0.489
"249",64,"Alamance","D_voteshare_basemap",0.403
"250",67,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","D_voteshare_basemap",0.243
"251",68,"Anson-Union","D_voteshare_basemap",0.355
"252",69,"Anson-Union","D_voteshare_basemap",0.355
"253",71,"Forsyth-Yadkin","D_voteshare_basemap",0.453
"254",72,"Forsyth-Yadkin","D_voteshare_basemap",0.696
"255",73,"Forsyth-Yadkin","D_voteshare_basemap",0.357
"256",74,"Forsyth-Yadkin","D_voteshare_basemap",0.408
"257",75,"Forsyth-Yadkin","D_voteshare_basemap",0.685
"258",76,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","D_voteshare_basemap",0.415
"259",77,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","D_voteshare_basemap",0.26
"260",82,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","D_voteshare_basemap",0.443
"261",83,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","D_voteshare_basemap",0.418
"262",88,"Mecklenburg","D_voteshare_basemap",0.642
"263",92,"Mecklenburg","D_voteshare_basemap",0.704
"264",98,"Mecklenburg","D_voteshare_basemap",0.458
"265",99,"Mecklenburg","D_voteshare_basemap",0.59
"266",100,"Mecklenburg","D_voteshare_basemap",0.722
"267",101,"Mecklenburg","D_voteshare_basemap",0.743
"268",102,"Mecklenburg","D_voteshare_basemap",0.797
"269",103,"Mecklenburg","D_voteshare_basemap",0.525
"270",104,"Mecklenburg","D_voteshare_basemap",0.52
"271",105,"Mecklenburg","D_voteshare_basemap",0.55
"272",106,"Mecklenburg","D_voteshare_basemap",0.797
"273",107,"Mecklenburg","D_voteshare_basemap",0.701
"274",108,"Cleveland-Gaston","D_voteshare_basemap",0.41
"275",109,"Cleveland-Gaston","D_voteshare_basemap",0.373
"276",110,"Cleveland-Gaston","D_voteshare_basemap",0.388
"277",111,"Cleveland-Gaston","D_voteshare_basemap",0.275
"278",114,"Buncombe","D_voteshare_basemap",0.57
"279",115,"Buncombe","D_voteshare_basemap",0.581
"280",116,"Buncombe","D_voteshare_basemap",0.561
"281",4,"Duplin-Onslow","R_voteshare_basemap",0.635
"282",7,"Franklin-Nash","R_voteshare_basemap",0.578
"283",8,"Lenoir-Pitt","R_voteshare_basemap",0.391
"284",9,"Lenoir-Pitt","R_voteshare_basemap",0.485
"285",12,"Lenoir-Pitt","R_voteshare_basemap",0.541
"286",14,"Duplin-Onslow","R_voteshare_basemap",0.621
"287",15,"Duplin-Onslow","R_voteshare_basemap",0.682
"288",16,"Columbus-Pender-Robeson","R_voteshare_basemap",0.639
"289",17,"Brunswick-New Hanover","R_voteshare_basemap",0.635
"290",18,"Brunswick-New Hanover","R_voteshare_basemap",0.435
